complaint_text,category,priority,sentiment
Please share the standard procedure for the internal marks upload whenever possible.,Examination,Critical,Neutral
I want to report that The event registration system very was conducted without proper transparency. I request immediate attention to this matter.,Other,High,Negative
Kindly look into the issue that The reference section staff was rude while assisting with a book search. I request immediate attention to this matter.,Library,High,Negative
Kindly look into the issue that The bus pass renewal process was cancelled without any prior notice. This is causing a lot of inconvenience to students.,Transport,High,Negative
"Thanks to the quick response team, the internal marks upload issue was resolved smoothly and I am happy with the service.",Examination,Medium,Positive
Could you please provide an update regarding the exam timetable? Just checking on the status.,Examination,Medium,Neutral
I am extremely disappointed that The electricity in the girls hostel totally wiring is exposed and could cause a fire. This is causing a lot of inconvenience to students.,Electricity,Critical,Negative
"I have a query about the bus seating capacity, please let me know the current process.",Transport,Low,Neutral
I am extremely disappointed that The library Wi-Fi extremely charges an unfair fine despite timely return. I request immediate attention to this matter.,Library,Medium,Negative
I would like to inform you that The admission office staff absolutely is not accepting payments due to a technical error. Thank you for looking into this.,Administration,High,Negative
"Respected Sir/Madam, The corridor flooring fell down and could injure students. Please fix this issue soon.",Infrastructure,Critical,Negative
"Excellent support was given when I reported an issue with the student feedback process, really appreciate the effort.",Other,Low,Positive
Please share the standard procedure for the water cooler area whenever possible.,Cleanliness,Medium,Neutral
This is to bring to your notice that The ceiling fan in room 204 absolutely is not working properly during lectures. This is causing a lot of inconvenience to students.,Infrastructure,Medium,Negative
I would like to inform you that The canteen food quality very was conducted without proper transparency. I would appreciate a quick response.,Other,High,Negative
I want to report that The sports equipment has deteriorated and is often stale. Kindly take necessary action as soon as possible.,Other,Low,Negative
I want to report that The exam invigilator behaved unfairly with several students. This needs urgent attention from the concerned department.,Examination,High,Neutral
Kindly look into the issue that The library staff does not have enough copies of the prescribed textbooks.,Library,Medium,Negative
"To whomsoever it may concern, The computer lab network very crashed while I was submitting my online exam. Thank you for looking into this.",IT/Network,Critical,Neutral
"Requesting information on the night security patrol for my reference, not urgent.",Security,High,Neutral
"Respected Sir/Madam, The power supply in the library flickers constantly, damaging appliances. I hope this gets resolved quickly.",Electricity,Medium,Neutral
It has come to my attention that The streetlights on campus completely has been out for the entire day. Please resolve this at the earliest.,Electricity,High,Negative
Could you please provide an update regarding the campus security guards? Just checking on the status.,Security,Medium,Neutral
The bus pass renewal process was cancelled without any prior notice. Kindly take necessary action as soon as possible.,Transport,High,Negative
I would like to inform you that The library seating arrangement is too noisy to study in. I would appreciate a quick response.,Library,Low,Neutral
"Respected Sir/Madam, The sports ground seriously smells extremely bad and is unhygienic. I hope this gets resolved quickly.",Cleanliness,High,Negative
"I have a query about the student feedback process, please let me know the current process.",Other,Medium,Neutral
Kindly look into the issue that The general grievance redressal process extremely is outdated and shows wrong information. This is causing a lot of inconvenience to students.,Other,Low,Negative
I would like to inform you that The corridor flooring was damaged during the last storm and remains unrepaired. This is causing a lot of inconvenience to students.,Infrastructure,Medium,Negative
I want to report that The night security patrol totally guards are often missing from their posts. I request immediate attention to this matter.,Security,Medium,Negative
I am writing to complain that The auditorium sound system extremely is completely non-functional. Please fix this issue soon.,Infrastructure,High,Negative
Could you please provide an update regarding the microscopes in the biology lab? Just checking on the status.,Laboratory,Medium,Neutral
I am writing to complain that The generator backup was never restored after the recent short circuit. Please fix this issue soon.,Electricity,Critical,Negative
I want to report that The library staff totally staff was rude while assisting with a book search. Kindly take necessary action as soon as possible.,Library,High,Negative
Could you please provide an update regarding the email server? Just checking on the status.,IT/Network,Medium,Neutral
Kindly look into the issue that The classroom floors seriously has broken taps causing water wastage and mess. I request immediate attention to this matter.,Cleanliness,Medium,Negative
I am writing to complain that The exam invigilator absolutely is not generating hall tickets for several students. Please fix this issue soon.,Examination,Critical,Negative
"I am extremely disappointed that The alumni portal is old, damaged and needs replacement. Please fix this issue soon.",Other,Medium,Negative
This is to bring to your notice that The student affairs office charges hidden fees that were not communicated earlier. I request immediate attention to this matter.,Administration,Medium,Neutral
The hostel entry security extremely reported a theft that was never investigated. Thank you for looking into this.,Security,Critical,Negative
This is to bring to your notice that The streetlights on campus extremely backup does not switch on during outages. I request immediate attention to this matter.,Electricity,High,Negative
I am extremely disappointed that The corridor lighting completely has been out for the entire day. I hope this gets resolved quickly.,Electricity,High,Negative
I am writing to complain that The alumni portal was conducted without proper transparency.,Other,High,Negative
I am pleased to note that the hostel laundry service has been upgraded and is working perfectly now.,Hostel,Low,Positive
I am extremely disappointed that The exam timetable logged me out in the middle of the exam. Kindly take necessary action as soon as possible.,Examination,Critical,Negative
I would like to inform you that The parking lot security is lax and anyone can walk in after hours. This needs urgent attention from the concerned department.,Security,High,Negative
Kindly look into the issue that The bonafide certificate request is not answering calls or emails. I would appreciate a quick response.,Administration,Low,Negative
Please share the standard procedure for the event registration system whenever possible.,Other,Low,Neutral
"To whomsoever it may concern, The generator backup has been out for the entire day. Please resolve this at the earliest.",Electricity,High,Negative
The microscopes in the biology lab pose a safety hazard to students. Please resolve this at the earliest.,Laboratory,Critical,Negative
I want to report that The parking lot security seriously needs strengthening after the recent incident. Please fix this issue soon.,Security,Critical,Negative
I am writing to complain that The online exam system extremely was chaotic and roll numbers were misplaced. I request immediate attention to this matter.,Examination,High,Negative
The lab safety gear are outdated and frequently malfunction during practicals. This needs urgent attention from the concerned department.,Laboratory,Medium,Negative
"Respected Sir/Madam, The hostel washroom was not addressed despite the pest control request. I request immediate attention to this matter.",Hostel,High,Negative
"To whomsoever it may concern, The college website keeps crashing on both Android and iOS.",Other,Medium,Neutral
"Kindly look into the issue that The sports ground seriously overflowed and water is stagnant, breeding mosquitoes. Kindly take necessary action as soon as possible.",Cleanliness,High,Negative
It has come to my attention that The classroom door very is completely non-functional. Kindly take necessary action as soon as possible.,Infrastructure,High,Negative
I am writing to complain that The campus Wi-Fi router extremely is not accessible from the hostel rooms. Thank you for looking into this.,IT/Network,Medium,Negative
"Respected Sir/Madam, The electricity in the girls hostel totally voltage fluctuates and damages electronic devices. Thank you for looking into this.",Electricity,Medium,Negative
I am extremely disappointed that The book renewal system totally has broken chairs and tables. I hope this gets resolved quickly.,Library,Medium,Negative
This is to bring to your notice that The evening bus timing was rude to students who asked about the delay. This is causing a lot of inconvenience to students.,Transport,Medium,Negative
It has come to my attention that The admission office staff lost my submitted documents. Please resolve this at the earliest.,Administration,Critical,Negative
"To whomsoever it may concern, The printer server totally is not accessible from the hostel rooms. Thank you for looking into this.",IT/Network,Medium,Neutral
Wanted to confirm the schedule/details related to the hostel Wi-Fi when convenient.,Hostel,Medium,Neutral
"Respected Sir/Madam, The transcript request process very lost my submitted documents. Kindly take necessary action as soon as possible.",Administration,Critical,Negative
Kindly look into the issue that The auditorium sound system is cracked and unsafe to use. Kindly take necessary action as soon as possible.,Infrastructure,Critical,Negative
I am extremely disappointed that The main gate security is lax and anyone can walk in after hours. I hope this gets resolved quickly.,Security,High,Negative
It has come to my attention that The parking lot security is irregular and the campus feels unsafe at night.,Security,High,Negative
I would like to inform you that The shuttle service seriously area is poorly lit and unsafe at night. I would appreciate a quick response.,Transport,High,Negative
I am extremely disappointed that The bus driver was cancelled without any prior notice. I hope this gets resolved quickly.,Transport,High,Negative
I would like to inform you that The parking lot security did not respond during a recent fire drill. I would appreciate a quick response.,Security,Critical,Negative
"I have a query about the result declaration, please let me know the current process.",Examination,Medium,Neutral
This is to bring to your notice that The streetlights on campus switchboard gives mild shocks when touched. Kindly take necessary action as soon as possible.,Electricity,Critical,Negative
"Requesting information on the visitor entry process for my reference, not urgent.",Security,High,Neutral
I want to report that The generator backup extremely switchboard gives mild shocks when touched. This needs urgent attention from the concerned department.,Electricity,Critical,Neutral
"Great job by the staff, the library seating arrangement has improved a lot recently and I am satisfied.",Library,Medium,Positive
I want to report that The reference section extremely does not have enough copies of the prescribed textbooks. This is causing a lot of inconvenience to students.,Library,Medium,Neutral
"Great job by the staff, the drainage near the hostel has improved a lot recently and I am satisfied.",Cleanliness,Medium,Positive
"I have a query about the sports equipment, please let me know the current process.",Other,Low,Neutral
"I just wanted to appreciate that the bus route schedule was fixed quickly and works great now, thank you!",Transport,Low,Positive
"To whomsoever it may concern, The sports ground is littered with garbage all over.",Cleanliness,Low,Negative
"Kindly look into the issue that The lab safety gear are extremely slow, wasting practical session time. This needs urgent attention from the concerned department.",Laboratory,Low,Negative
I want to report that The newspaper section does not have enough copies of the prescribed textbooks. I hope this gets resolved quickly.,Library,Medium,Neutral
Could you please provide an update regarding the staircase area? Just checking on the status.,Cleanliness,Medium,Neutral
It has come to my attention that The computer lab systems very pose a safety hazard to students. I hope this gets resolved quickly.,Laboratory,Critical,Negative
The switchboard in room 105 switchboard gives mild shocks when touched. I would appreciate a quick response.,Electricity,Critical,Negative
The security near the girls hostel guards are often missing from their posts. I would appreciate a quick response.,Security,Medium,Neutral
I am extremely disappointed that The LMS website absolutely is asking for a password that was never issued to me. This needs urgent attention from the concerned department.,IT/Network,Low,Neutral
Could you please provide an update regarding the hostel mess food? Just checking on the status.,Hostel,Medium,Neutral
"Thanks to the quick response team, the exam timetable issue was resolved smoothly and I am happy with the service.",Examination,Medium,Positive
The online exam system logged me out in the middle of the exam. Thank you for looking into this.,Examination,Critical,Negative
The exam invigilator completely is not generating hall tickets for several students. Thank you for looking into this.,Examination,Critical,Negative
I am pleased to note that the certificate issuance counter has been upgraded and is working perfectly now.,Administration,Low,Positive
I would like to inform you that The bus conductor drives rashly endangering student safety. I hope this gets resolved quickly.,Transport,Critical,Negative
I would like to inform you that The student affairs office rejected my application without a valid reason. I request immediate attention to this matter.,Administration,High,Negative
This is to bring to your notice that The boys washroom has broken taps causing water wastage and mess. I hope this gets resolved quickly.,Cleanliness,Medium,Negative
"I am extremely disappointed that The canteen food quality very is old, damaged and needs replacement. Thank you for looking into this.",Other,Medium,Negative
I am extremely disappointed that The hostel gate timing was not addressed despite the pest control request. I hope this gets resolved quickly.,Hostel,High,Negative
This is to bring to your notice that The lab computers are missing important components required for the experiment. I hope this gets resolved quickly.,Laboratory,Medium,Negative
It has come to my attention that The LMS website very has not been working since morning and I cannot access any online resources. Thank you for looking into this.,IT/Network,High,Negative
"I want to report that The security near the girls hostel seriously does not verify visitors properly, raising safety concerns. Kindly take necessary action as soon as possible.",Security,High,Neutral
I would like to inform you that The campus Wi-Fi router is completely down in the entire block. Thank you for looking into this.,IT/Network,Critical,Negative
I would like to inform you that The hostel room fan quality has degraded badly and causes stomach issues. I would appreciate a quick response.,Hostel,Critical,Negative
This is to bring to your notice that The accounts department completely lost my submitted documents. I would appreciate a quick response.,Administration,Critical,Negative
"Requesting information on the notice board updates for my reference, not urgent.",Other,Medium,Neutral
I am extremely disappointed that The exam timetable extremely is poor and students feel suffocated during exams. I hope this gets resolved quickly.,Examination,Medium,Negative
Wanted to confirm the schedule/details related to the ID card renewal process when convenient.,Administration,Low,Neutral
"To whomsoever it may concern, The evening bus timing is overcrowded beyond safe capacity. Please resolve this at the earliest.",Transport,High,Negative
"I have a query about the internet connection, please let me know the current process.",IT/Network,Medium,Neutral
Please share the standard procedure for the hostel room cleanliness whenever possible.,Hostel,Medium,Neutral
It has come to my attention that The internet connection is asking for a password that was never issued to me. I hope this gets resolved quickly.,IT/Network,Low,Negative
I am writing to complain that The generator backup switchboard gives mild shocks when touched. This needs urgent attention from the concerned department.,Electricity,Critical,Negative
"Thanks to the quick response team, the student affairs office issue was resolved smoothly and I am happy with the service.",Administration,Low,Positive
I am writing to complain that The computer lab network has not been working since morning and I cannot access any online resources. Thank you for looking into this.,IT/Network,High,Negative
I would like to inform you that The library AC very charges an unfair fine despite timely return. Thank you for looking into this.,Library,Medium,Neutral
"Requesting information on the library AC for my reference, not urgent.",Library,Low,Neutral
Wanted to confirm the schedule/details related to the hostel bed and furniture when convenient.,Hostel,Medium,Neutral
Kindly look into the issue that The student feedback process was conducted without proper transparency. Kindly take necessary action as soon as possible.,Other,High,Negative
This is to bring to your notice that The internet connection is extremely slow and keeps disconnecting every few minutes. This is causing a lot of inconvenience to students.,IT/Network,Medium,Neutral
"Respected Sir/Madam, The corridor lighting sockets are sparking and dangerous to use. Kindly take necessary action as soon as possible.",Electricity,Critical,Negative
"Thanks to the quick response team, the hostel laundry service issue was resolved smoothly and I am happy with the service.",Hostel,Low,Positive
"To whomsoever it may concern, The answer sheet evaluation has scheduling conflicts between two subjects. I request immediate attention to this matter.",Examination,High,Negative
Please share the standard procedure for the bus pass renewal process whenever possible.,Transport,Low,Neutral
Kindly look into the issue that The classroom lights have not worked for the last week making it dark at night. I request immediate attention to this matter.,Electricity,High,Negative
"To whomsoever it may concern, The generator backup extremely sockets are sparking and dangerous to use. Kindly take necessary action as soon as possible.",Electricity,Critical,Negative
"I am writing to complain that The hostel entry security does not verify visitors properly, raising safety concerns. I would appreciate a quick response.",Security,High,Neutral
"I have a query about the bus conductor, please let me know the current process.",Transport,Medium,Neutral
"Respected Sir/Madam, The security near the girls hostel is irregular and the campus feels unsafe at night. Please resolve this at the earliest.",Security,High,Negative
It has come to my attention that The sports equipment seriously has broken links and outdated content. This is causing a lot of inconvenience to students.,Other,Low,Negative
Kindly look into the issue that The library Wi-Fi completely closes earlier than the notified timings. This is causing a lot of inconvenience to students.,Library,Low,Negative
I am writing to complain that The lecture hall bench extremely fell down and could injure students. Please fix this issue soon.,Infrastructure,Critical,Negative
I am pleased to note that the ID card renewal process has been upgraded and is working perfectly now.,Administration,Medium,Positive
Please share the standard procedure for the hostel laundry service whenever possible.,Hostel,High,Neutral
The ID verification at the gate very allowed unauthorized outsiders to enter without checking IDs. Thank you for looking into this.,Security,Critical,Negative
This is to bring to your notice that The revaluation process was chaotic and roll numbers were misplaced. I hope this gets resolved quickly.,Examination,High,Negative
"Requesting information on the lab computers for my reference, not urgent.",Laboratory,High,Neutral
"Requesting information on the answer sheet evaluation for my reference, not urgent.",Examination,High,Neutral
This is to bring to your notice that The certificate issuance counter lost my submitted documents. This is causing a lot of inconvenience to students.,Administration,Critical,Negative
I want to report that The bus conductor does not cover our residential area anymore. I would appreciate a quick response.,Transport,Medium,Negative
"To whomsoever it may concern, The classroom lighting very fell down and could injure students. I hope this gets resolved quickly.",Infrastructure,Critical,Negative
I am extremely disappointed that The security near the girls hostel absolutely guards are often missing from their posts. Thank you for looking into this.,Security,Medium,Neutral
The staircase railing completely is broken and needs immediate repair. Please fix this issue soon.,Infrastructure,High,Negative
I am extremely disappointed that The classroom door absolutely is broken and needs immediate repair. Thank you for looking into this.,Infrastructure,High,Negative
I am extremely disappointed that The lab safety gear very are missing important components required for the experiment.,Laboratory,Medium,Negative
Kindly look into the issue that The alumni portal has broken links and outdated content. This needs urgent attention from the concerned department.,Other,Low,Neutral
"To whomsoever it may concern, The wiring near the canteen extremely have not worked for the last week making it dark at night.",Electricity,High,Negative
Kindly look into the issue that The internal marks upload is poor and students feel suffocated during exams. This is causing a lot of inconvenience to students.,Examination,Medium,Negative
Kindly look into the issue that The printer server extremely keeps timing out when uploading assignments. Kindly take necessary action as soon as possible.,IT/Network,Medium,Negative
I would like to inform you that The alumni portal seriously has deteriorated and is often stale. Please fix this issue soon.,Other,Low,Neutral
Kindly look into the issue that The projector in the seminar hall has loose wiring hanging out. This needs urgent attention from the concerned department.,Infrastructure,Critical,Negative
I am writing to complain that The hostel gate timing quality has degraded badly and causes stomach issues.,Hostel,Critical,Negative
It has come to my attention that The emergency alarm system absolutely is lax and anyone can walk in after hours. I request immediate attention to this matter.,Security,High,Negative
"Respected Sir/Madam, The boys washroom has not been cleaned for several days. I request immediate attention to this matter.",Cleanliness,Medium,Negative
"I would like to inform you that The lab exhaust fan completely are extremely slow, wasting practical session time. This is causing a lot of inconvenience to students.",Laboratory,Low,Negative
"Respected Sir/Madam, The accounts department extremely takes an unusually long time to process. Please fix this issue soon.",Administration,Low,Negative
"To whomsoever it may concern, The bus pass renewal process drives rashly endangering student safety. Please fix this issue soon.",Transport,Critical,Negative
I would like to inform you that The result declaration completely seems incorrect and needs to be rechecked. This needs urgent attention from the concerned department.,Examination,Medium,Negative
It has come to my attention that The hostel laundry service very has not been available for the past two days. Please fix this issue soon.,Hostel,High,Negative
"Great job by the staff, the campus Wi-Fi router has improved a lot recently and I am satisfied.",IT/Network,Low,Positive
I would like to inform you that The bus route schedule process takes too many days to complete. Please resolve this at the earliest.,Transport,Low,Neutral
I would like to inform you that The hostel gate timing quality has degraded badly and causes stomach issues. I would appreciate a quick response.,Hostel,Critical,Negative
Could you please provide an update regarding the hostel room cleanliness? Just checking on the status.,Hostel,Low,Neutral
Wanted to confirm the schedule/details related to the hostel entry security when convenient.,Security,High,Neutral
The lab computers have not been serviced in a long time. I request immediate attention to this matter.,Laboratory,Medium,Negative
"Requesting information on the oscilloscope in the electronics lab for my reference, not urgent.",Laboratory,Medium,Neutral
"Respected Sir/Madam, The emergency alarm system totally did not respond during a recent fire drill.",Security,Critical,Negative
The parking area for two-wheelers completely skipped our stop without waiting. Please fix this issue soon.,Transport,Medium,Negative
"To whomsoever it may concern, The hostel room fan is not responding to repeated complaints. Please fix this issue soon.",Hostel,High,Negative
Kindly look into the issue that The answer sheet evaluation is not generating hall tickets for several students. Kindly take necessary action as soon as possible.,Examination,Critical,Negative
The answer sheet evaluation takes far too long with no updates given. I request immediate attention to this matter.,Examination,Medium,Negative
"To whomsoever it may concern, The microscopes in the biology lab are extremely slow, wasting practical session time. This needs urgent attention from the concerned department.",Laboratory,Low,Neutral
Wanted to confirm the schedule/details related to the microscopes in the biology lab when convenient.,Laboratory,Low,Neutral
Kindly look into the issue that The accounts department has been pending for over a month without any update. I hope this gets resolved quickly.,Administration,Medium,Neutral
"This is to bring to your notice that The parking lot security does not verify visitors properly, raising safety concerns. This needs urgent attention from the concerned department.",Security,High,Negative
Kindly look into the issue that The library AC does not have enough copies of the prescribed textbooks. Please resolve this at the earliest.,Library,Medium,Negative
I would like to inform you that The sports ground seriously has not been cleaned for several days. Please resolve this at the earliest.,Cleanliness,Medium,Neutral
It has come to my attention that The emergency alarm system extremely guards are often missing from their posts. Kindly take necessary action as soon as possible.,Security,Medium,Neutral
This is to bring to your notice that The student council elections totally has not been updated for the current batch. I hope this gets resolved quickly.,Other,Low,Negative
"Respected Sir/Madam, The corridor lighting seriously voltage fluctuates and damages electronic devices. I hope this gets resolved quickly.",Electricity,Medium,Negative
Kindly look into the issue that The CCTV monitoring seriously reported a theft that was never investigated. This needs urgent attention from the concerned department.,Security,Critical,Negative
This is to bring to your notice that The ID verification at the gate completely guards are often missing from their posts. This needs urgent attention from the concerned department.,Security,Medium,Negative
This is to bring to your notice that The lecture hall bench fell down and could injure students. I hope this gets resolved quickly.,Infrastructure,Critical,Negative
Wanted to confirm the schedule/details related to the computer lab network when convenient.,IT/Network,Medium,Neutral
It has come to my attention that The workshop machinery absolutely are damaged and unusable. Thank you for looking into this.,Laboratory,High,Neutral
The lab exhaust fan have not been replaced despite multiple requests. Thank you for looking into this.,Laboratory,Medium,Neutral
I am writing to complain that The corridor flooring extremely was damaged during the last storm and remains unrepaired. Please resolve this at the earliest.,Infrastructure,Medium,Negative
"Thanks to the quick response team, the hostel room cleanliness issue was resolved smoothly and I am happy with the service.",Hostel,Low,Positive
"Respected Sir/Madam, The false ceiling panel needs urgent maintenance before it collapses. I request immediate attention to this matter.",Infrastructure,Critical,Negative
The classroom floors has broken taps causing water wastage and mess. Please fix this issue soon.,Cleanliness,Medium,Neutral
Kindly look into the issue that The hall ticket portal was not completed before the deadline. I request immediate attention to this matter.,Examination,High,Negative
Wanted to confirm the schedule/details related to the student council elections when convenient.,Other,Medium,Neutral
Kindly look into the issue that The bus driver area is poorly lit and unsafe at night. I hope this gets resolved quickly.,Transport,High,Negative
It has come to my attention that The exam hall ventilation absolutely was not completed before the deadline. I request immediate attention to this matter.,Examination,High,Negative
"Requesting information on the email server for my reference, not urgent.",IT/Network,Medium,Neutral
I am extremely disappointed that The college portal has very weak signal in the library section. This is causing a lot of inconvenience to students.,IT/Network,Low,Neutral
